date,text
24 Jun 2025,19.42 Situasi arus lalu lintas di Traffic Light Emporium Pluit Jakut arah Muara Angke maupun arah Jembatan Tiga terpantau ramai lancar. https://t.co/hIlxutzxWl
24 Jun 2025,19.23 Situasi arus lalu lintas di Jl. Gelora Jakpus arah Semanggi maupun arah Bendungan Hilir terpantau cukup padat. https://t.co/Mqk1eFUAmv
24 Jun 2025,18.53 Situasi arus lalu lintas di Traffic Light Pasar Rebo Jaktim arah Cijantung maupun arah Jl. TB Simatupang terpantau ramai lancar. https://t.co/jVGBnhkxYa
24 Jun 2025,17.55 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 05+800 (Kuningan) arah Pancoran terpantau cukup padat sedangkan arah Slipi terpantau ramai lancar. https://t.co/C5jFVoHn3t
24 Jun 2025,17.40 Situasi arus lalu lintas di Traffic Light Cengkareng Jakbar arah Kapuk maupun arah Kalideres terpantau cukup padat. https://t.co/WcsGqygryV
24 Jun 2025,17.32 Situasi arus lalu lintas di Traffic Light Kolong Cakung Jaktim arah Bekasi maupun arah Cilincing terpantau ramai cenderung padat. https://t.co/QaFJUFUlb9
24 Jun 2025,17.10 Situasi arus lalu lintas di Jalur Arteri Jl. Gatot Subroto Jaksel arah Slipi maupun arah Senayan terpantau ramai cenderung padat. https://t.co/Ji0ww5TWP5
24 Jun 2025,17.06 Situasi arus lalu lintas di Traffic Light Santa Jl. Tendean Jaksel arah Mampang Prapatan maupun arah Pancoran terpantau ramai cenderung padat. https://t.co/6iTdXde6Cw
24 Jun 2025,16.48 Situasi arus lalu lintas di Traffic Light Robinson Pasar Minggu Jaksel arah Lenteng Agung maupun arah Kalibata terpantau ramai lancar. https://t.co/EC2KsPSG3V
24 Jun 2025,09.58 Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jl. Medan Merdeka Barat Jakpus arah Harmoni maupun arah Jl. Budi Kemuliaan terpantau ramai lancar. https://t.co/NaqmCavp8O
24 Jun 2025,09.42 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+600 (Cawang) arah Pancoran terpantau cukup padat sedangkan arah Cikampek maupun Jagorawi terpantau ramai lancar. https://t.co/moxLAUYkkb
24 Jun 2025,08.05 Situasi arus lalu lintas di Traffic Light Halim Lama Jl. D.I Panjaitan Jaktim arah Jl. Mayjen Sutoyo maupun arah Cipinang terpantau ramai lancar. https://t.co/27GGCPolsC
24 Jun 2025,07.05 Situasi arus lalu lintas di Traffic Light Rindam arah Tj.Barat terpantau ramai lancar. https://t.co/vmYP9M1WIg
24 Jun 2025,07.00 Situasi arus lalu lintas di Traffic Light Garuda arah Traffic Light HEK terpantau lancar. https://t.co/EZ9lFCaGo7
24 Jun 2025,06.45 Situasi arus lalu lintas di Traffic Light Tomang terpantau lancar. https://t.co/siYSHW4YQ0
23 Jun 2025,07.54 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+600 (Cawang) arah Pancoran maupun arah Cikampek terpantau ramai lancar. https://t.co/XGDAvlR955
23 Jun 2025,07.24 Situasi arus lalu lintas di Traffic Light Kolong Cakung Jaktim arah Bekasi maupun arah Cilincing terpantau ramai lancar. https://t.co/0OwFyJI7S5
23 Jun 2025,06.51 Situasi arus lalu lintas di Traffic Light CSW Melawai Jaksel arah Bulungan maupun arah Jl. Panglima Polim terpantau ramai lancar. https://t.co/TNgzdBfqlE
23 Jun 2025,06.40 Situasi arus lalu lintas di Traffic Light Cengkareng Jakbar arah Pesing maupun arah Kalideres terpantau ramai lancar. https://t.co/Fflfcpjiq2
23 Jun 2025,06.31 Situasi arus lalu lintas di Traffic Light Pintu Besi Jl. Gunung Sahari Jakpus arah Ancol maupun arah Kemayoran terpantau ramai lancar. https://t.co/vnMX5I92Fd
23 Jun 2025,06.22 Situasi arus lalu lintas di Traffic Light Pancoran Jaksel arah Tebet maupun arah Kuningan terpantau ramai lancar. https://t.co/g8rpCEoTLM
23 Jun 2025,06.17 Situasi arus lalu lintas di Traffic Light Jambul Jl. Dewi Sartika Jaktim arah Kalibata maupun arah Cililitan terpantau cukup padat. https://t.co/MDPl3YKxy1
